LapNumber,Stint,Compound,TyreLife,LapTime,Sector1Time,Sector2Time,Sector3Time,TrackStatus,IsAccurate,LapTimeSeconds
56.0,3.0,SOFT,12.0,0 days 00:01:17.627000,0 days 00:00:22.602000,0 days 00:00:31.610000,0 days 00:00:23.415000,1,True,77.627
57.0,3.0,SOFT,13.0,0 days 00:01:17.893000,0 days 00:00:23.016000,0 days 00:00:31.295000,0 days 00:00:23.582000,1,True,77.893
58.0,3.0,SOFT,14.0,0 days 00:01:18.259000,0 days 00:00:23.045000,0 days 00:00:31.629000,0 days 00:00:23.585000,1,True,78.259
59.0,3.0,SOFT,15.0,0 days 00:01:17.945000,0 days 00:00:22.976000,0 days 00:00:31.411000,0 days 00:00:23.558000,1,True,77.945
60.0,3.0,SOFT,16.0,0 days 00:01:18.271000,0 days 00:00:22.995000,0 days 00:00:31.680000,0 days 00:00:23.596000,1,True,78.271
61.0,3.0,SOFT,17.0,0 days 00:01:17.805000,0 days 00:00:22.595000,0 days 00:00:31.667000,0 days 00:00:23.543000,1,True,77.805
62.0,3.0,SOFT,18.0,0 days 00:01:18.080000,0 days 00:00:23.013000,0 days 00:00:31.558000,0 days 00:00:23.509000,1,True,78.08
63.0,3.0,SOFT,19.0,0 days 00:01:18.174000,0 days 00:00:22.953000,0 days 00:00:31.706000,0 days 00:00:23.515000,1,True,78.174
64.0,3.0,SOFT,20.0,0 days 00:01:18.282000,0 days 00:00:22.868000,0 days 00:00:31.704000,0 days 00:00:23.710000,1,True,78.282
65.0,3.0,SOFT,21.0,0 days 00:01:18.773000,0 days 00:00:22.909000,0 days 00:00:31.991000,0 days 00:00:23.873000,1,True,78.773
66.0,3.0,SOFT,22.0,0 days 00:01:19.682000,0 days 00:00:23.436000,0 days 00:00:32.053000,0 days 00:00:24.193000,1,True,79.682
