LapNumber,Stint,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,TrackStatus,IsAccurate,LapTimeSeconds,Driver
8.0,1.0,SOFT,11.0,0 days 00:00:24.111000,0 days 00:00:32.622000,0 days 00:00:24.256000,1,True,80.989,Max Verstappen
9.0,1.0,SOFT,12.0,0 days 00:00:24.174000,0 days 00:00:32.540000,0 days 00:00:24.328000,1,True,81.042,Max Verstappen
10.0,1.0,SOFT,13.0,0 days 00:00:24.129000,0 days 00:00:32.546000,0 days 00:00:24.328000,1,True,81.003,Max Verstappen
11.0,1.0,SOFT,14.0,0 days 00:00:24.127000,0 days 00:00:32.520000,0 days 00:00:24.307000,1,True,80.954,Max Verstappen
12.0,1.0,SOFT,15.0,0 days 00:00:24.149000,0 days 00:00:32.844000,0 days 00:00:24.383000,1,True,81.376,Max Verstappen
13.0,1.0,SOFT,16.0,0 days 00:00:24.043000,0 days 00:00:32.594000,0 days 00:00:24.170000,1,True,80.807,Max Verstappen
14.0,1.0,SOFT,17.0,0 days 00:00:24.034000,0 days 00:00:32.625000,0 days 00:00:24.330000,1,True,80.989,Max Verstappen
15.0,1.0,SOFT,18.0,0 days 00:00:23.972000,0 days 00:00:32.786000,0 days 00:00:24.339000,1,True,81.097,Max Verstappen
16.0,1.0,SOFT,19.0,0 days 00:00:24.044000,0 days 00:00:32.787000,0 days 00:00:24.392000,1,True,81.223,Max Verstappen
19.0,2.0,MEDIUM,2.0,0 days 00:00:23.879000,0 days 00:00:31.930000,0 days 00:00:23.916000,1,True,79.725,Max Verstappen
20.0,2.0,MEDIUM,3.0,0 days 00:00:23.956000,0 days 00:00:32.090000,0 days 00:00:23.920000,1,True,79.966,Max Verstappen
21.0,2.0,MEDIUM,4.0,0 days 00:00:23.689000,0 days 00:00:32.541000,0 days 00:00:24.074000,1,True,80.304,Max Verstappen
22.0,2.0,MEDIUM,5.0,0 days 00:00:23.781000,0 days 00:00:31.974000,0 days 00:00:23.987000,1,True,79.742,Max Verstappen
23.0,2.0,MEDIUM,6.0,0 days 00:00:23.630000,0 days 00:00:32.004000,0 days 00:00:23.971000,1,True,79.605,Max Verstappen
24.0,2.0,MEDIUM,7.0,0 days 00:00:23.648000,0 days 00:00:32.130000,0 days 00:00:23.923000,1,True,79.701,Max Verstappen
25.0,2.0,MEDIUM,8.0,0 days 00:00:23.625000,0 days 00:00:31.860000,0 days 00:00:23.878000,1,True,79.363,Max Verstappen
26.0,2.0,MEDIUM,9.0,0 days 00:00:23.707000,0 days 00:00:32.317000,0 days 00:00:23.858000,1,True,79.882,Max Verstappen
27.0,2.0,MEDIUM,10.0,0 days 00:00:23.602000,0 days 00:00:32.193000,0 days 00:00:23.899000,1,True,79.694,Max Verstappen
28.0,2.0,MEDIUM,11.0,0 days 00:00:23.824000,0 days 00:00:32.175000,0 days 00:00:24.102000,1,True,80.101,Max Verstappen
29.0,2.0,MEDIUM,12.0,0 days 00:00:23.626000,0 days 00:00:32.140000,0 days 00:00:24.026000,1,True,79.792,Max Verstappen
30.0,2.0,MEDIUM,13.0,0 days 00:00:23.594000,0 days 00:00:32.182000,0 days 00:00:24.031000,1,True,79.807,Max Verstappen
31.0,2.0,MEDIUM,14.0,0 days 00:00:23.599000,0 days 00:00:32.302000,0 days 00:00:24.110000,1,True,80.011,Max Verstappen
32.0,2.0,MEDIUM,15.0,0 days 00:00:23.582000,0 days 00:00:32.211000,0 days 00:00:24.098000,1,True,79.891,Max Verstappen
33.0,2.0,MEDIUM,16.0,0 days 00:00:23.564000,0 days 00:00:32.147000,0 days 00:00:24.125000,1,True,79.836,Max Verstappen
34.0,2.0,MEDIUM,17.0,0 days 00:00:23.606000,0 days 00:00:32.322000,0 days 00:00:24.030000,1,True,79.958,Max Verstappen
35.0,2.0,MEDIUM,18.0,0 days 00:00:23.677000,0 days 00:00:32.325000,0 days 00:00:24.183000,1,True,80.185,Max Verstappen
36.0,2.0,MEDIUM,19.0,0 days 00:00:23.556000,0 days 00:00:32.238000,0 days 00:00:24.132000,1,True,79.926,Max Verstappen
37.0,2.0,MEDIUM,20.0,0 days 00:00:23.554000,0 days 00:00:32.368000,0 days 00:00:23.881000,1,True,79.803,Max Verstappen
38.0,2.0,MEDIUM,21.0,0 days 00:00:23.596000,0 days 00:00:32.132000,0 days 00:00:24.085000,1,True,79.813,Max Verstappen
39.0,2.0,MEDIUM,22.0,0 days 00:00:23.535000,0 days 00:00:32.119000,0 days 00:00:24.015000,1,True,79.669,Max Verstappen
40.0,2.0,MEDIUM,23.0,0 days 00:00:23.602000,0 days 00:00:32.574000,0 days 00:00:24.134000,1,True,80.31,Max Verstappen
41.0,2.0,MEDIUM,24.0,0 days 00:00:23.525000,0 days 00:00:32.142000,0 days 00:00:23.981000,1,True,79.648,Max Verstappen
42.0,2.0,MEDIUM,25.0,0 days 00:00:23.528000,0 days 00:00:32.412000,0 days 00:00:23.980000,1,True,79.92,Max Verstappen
43.0,2.0,MEDIUM,26.0,0 days 00:00:23.469000,0 days 00:00:32.617000,0 days 00:00:24.215000,1,True,80.301,Max Verstappen
46.0,3.0,SOFT,2.0,0 days 00:00:23.228000,0 days 00:00:31.289000,0 days 00:00:23.369000,1,True,77.886,Max Verstappen
47.0,3.0,SOFT,3.0,0 days 00:00:23.311000,0 days 00:00:31.297000,0 days 00:00:23.390000,1,True,77.998,Max Verstappen
48.0,3.0,SOFT,4.0,0 days 00:00:23.278000,0 days 00:00:31.346000,0 days 00:00:23.792000,1,True,78.416,Max Verstappen
49.0,3.0,SOFT,5.0,0 days 00:00:23.138000,0 days 00:00:31.533000,0 days 00:00:23.583000,1,True,78.254,Max Verstappen
50.0,3.0,SOFT,6.0,0 days 00:00:23.375000,0 days 00:00:31.242000,0 days 00:00:23.457000,1,True,78.074,Max Verstappen
51.0,3.0,SOFT,7.0,0 days 00:00:23.205000,0 days 00:00:31.332000,0 days 00:00:23.421000,1,True,77.958,Max Verstappen
52.0,3.0,SOFT,8.0,0 days 00:00:23.157000,0 days 00:00:31.325000,0 days 00:00:23.449000,1,True,77.931,Max Verstappen
53.0,3.0,SOFT,9.0,0 days 00:00:23.290000,0 days 00:00:31.470000,0 days 00:00:23.380000,1,True,78.14,Max Verstappen
54.0,3.0,SOFT,10.0,0 days 00:00:23.032000,0 days 00:00:31.311000,0 days 00:00:23.433000,1,True,77.776,Max Verstappen
55.0,3.0,SOFT,11.0,0 days 00:00:23.033000,0 days 00:00:31.542000,0 days 00:00:23.446000,1,True,78.021,Max Verstappen
56.0,3.0,SOFT,12.0,0 days 00:00:23.265000,0 days 00:00:31.600000,0 days 00:00:23.489000,1,True,78.354,Max Verstappen
57.0,3.0,SOFT,13.0,0 days 00:00:23.140000,0 days 00:00:31.433000,0 days 00:00:23.554000,1,True,78.127,Max Verstappen
58.0,3.0,SOFT,14.0,0 days 00:00:23.149000,0 days 00:00:31.675000,0 days 00:00:23.363000,1,True,78.187,Max Verstappen
59.0,3.0,SOFT,15.0,0 days 00:00:23.240000,0 days 00:00:31.469000,0 days 00:00:23.405000,1,True,78.114,Max Verstappen
60.0,3.0,SOFT,16.0,0 days 00:00:23.186000,0 days 00:00:31.529000,0 days 00:00:23.450000,1,True,78.165,Max Verstappen
61.0,3.0,SOFT,17.0,0 days 00:00:23.171000,0 days 00:00:31.633000,0 days 00:00:23.556000,1,True,78.36,Max Verstappen
62.0,3.0,SOFT,18.0,0 days 00:00:23.228000,0 days 00:00:31.628000,0 days 00:00:23.445000,1,True,78.301,Max Verstappen
63.0,3.0,SOFT,19.0,0 days 00:00:23.252000,0 days 00:00:31.685000,0 days 00:00:23.606000,1,True,78.543,Max Verstappen
64.0,3.0,SOFT,20.0,0 days 00:00:23.303000,0 days 00:00:31.953000,0 days 00:00:23.816000,1,True,79.072,Max Verstappen
65.0,3.0,SOFT,21.0,0 days 00:00:23.258000,0 days 00:00:32.109000,0 days 00:00:24.100000,1,True,79.467,Max Verstappen
66.0,3.0,SOFT,22.0,0 days 00:00:23.251000,0 days 00:00:32.326000,0 days 00:00:24.197000,1,True,79.774,Max Verstappen
